Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/01/2008,399556,0.18181818,0.09090909,0.008714993,0.010894473,0.889993195,0.011227505,0.010640964,0.001709834,0.014931973,0.027565786,0.014080746,0.010240533,98.4,53.3,109,Train
01/02/2008,411032,0,0.09090909,0.009084854,0.010974071,0.00722121,0.006829131,0.006409651,0.005451212,0.011672885,0.014947726,0.913561268,0.013847992,90.8,53,108,Train
01/03/2008,414332,0.14285714,0,0.008164083,0.005849203,0.006916745,0.009096501,0.00719614,0.001610877,0.007281315,0.005533491,0.0141983,0.934153344,89.5,53.4,106,Train
01/04/2008,395900,0.21428571,0.07142857,0.007528202,0.013788933,0.005867428,0.911019639,0.012190712,0.001258646,0.014063044,0.019446225,0.006806929,0.008030241,82.6,56.4,106,Train
01/05/2008,366387,0,0.1,0.008862369,0.007257191,0.010529022,0.011619018,0.014288134,0.001458239,0.01596848,0.915464025,0.010944356,0.003609168,79.8,57.2,106,Train
01/06/2008,352945,0.14285714,0,0.011264041,0.006632302,0.008489192,0.011277242,0.010574615,0.002002643,0.911306671,0.022794844,0.009589391,0.006069058,76.4,51.3,107,Train
01/07/2008,330000,0,0,0.006494644,0.008933366,0.007294856,0.006192367,0.006247156,0.002975053,0.013054853,0.023750069,0.914466022,0.010591613,81.2,50,106,Train
01/08/2008,339000,0.06666667,0,0.006556454,0.004657665,0.005528876,0.007312184,0.00574145,0.001293913,0.005695757,0.004158457,0.011156893,0.94789835,83,46.4,109,Train
01/09/2008,286389,0.0625,0.0625,0.912572929,0.009167139,0.007478999,0.010277565,0.007760442,0.003640147,0.014375693,0.015068047,0.009056028,0.01060301,90.3,46.4,111,Train
01/10/2008,296742,0.18181818,0.09090909,0.91416954,0.009037253,0.007137762,0.010139143,0.007654235,0.003592803,0.014689031,0.015028052,0.008843205,0.009708976,77.6,49.2,117,Train
01/11/2008,279904,0.125,0,0.896473431,0.010178174,0.008040726,0.011368679,0.008673088,0.003972347,0.020622542,0.020221429,0.010483221,0.009966363,75.3,42.6,118,Train
01/12/2008,358048,0,0,0.012554705,0.009509414,0.010816018,0.015189967,0.011441372,0.002458088,0.01175278,0.009236341,0.021733609,0.895307706,80.1,36.8,117,Train
01/01/2009,370000,0,0.08333333,0.017232776,0.23518203,0.016060741,0.524610903,0.025355671,0.003596273,0.022642217,0.124488436,0.017702686,0.013128266,81.2,39.2,118,Train
01/02/2009,342913,0,0.25,0.012671869,0.016954172,0.012852941,0.011269333,0.010696088,0.005004721,0.019441079,0.024702287,0.865229426,0.021178086,76.3,43.3,120,Train
01/03/2009,303489,0.14285714,0.07142857,0.005961899,0.004288932,0.005045035,0.006678978,0.005183318,0.00118354,0.005106646,0.003715335,0.010205171,0.952631147,77.3,47,121,Train
01/04/2009,305430,0,0,0.006030683,0.007286314,0.931647007,0.006069895,0.006962694,0.001107239,0.009717377,0.017024765,0.007459949,0.006694077,85.1,50.4,118,Train
01/05/2009,292843,0,0,0.880086675,0.012732172,0.009911968,0.013845623,0.011609913,0.005115163,0.020009214,0.021337646,0.012473688,0.012877937,88.7,51.5,115,Train
01/06/2009,279147,0,0,0.008091697,0.917544757,0.007537014,0.020438511,0.006703348,0.002133515,0.007944164,0.011288583,0.011932899,0.006385513,90.8,51.1,114,Train
01/07/2009,271422,0,0.14285714,0.007917178,0.014649351,0.005931214,0.913877762,0.012842324,0.00127387,0.012636498,0.015721601,0.006363171,0.008787032,86,51.2,113,Train
01/08/2009,314915,0.15384615,0.07692308,0.006144808,0.004789911,0.00733485,0.007572948,0.010097117,0.000972167,0.011204511,0.943089269,0.006556664,0.002237754,85.7,51.3,112,Train
01/09/2009,304419,0.16666667,0,0.004911732,0.00501415,0.004968147,0.01026059,0.938575735,0.001142271,0.008916241,0.016271871,0.004589767,0.005349495,93.5,52,112,Train
01/10/2009,227859,0,0,0.007325927,0.009066355,0.00583175,0.005371987,0.005011055,0.0029128,0.009838377,0.012341887,0.931190476,0.011109385,90.6,52.3,110,Train
01/11/2009,387871,0,0,0.011040814,0.006498068,0.007953652,0.011222193,0.011724171,0.001981447,0.914953836,0.019135573,0.00934381,0.006146438,87.4,53.2,110,Train
01/12/2009,376400,0,0,0.008711372,0.915783157,0.008090476,0.017723581,0.006909469,0.002351284,0.008666134,0.011527648,0.012922489,0.00731439,92.5,53.2,110,Train
01/01/2010,416249,0,0.05,0.005825097,0.011451297,0.004411101,0.935364498,0.009738477,0.000949756,0.009378815,0.011485141,0.004748437,0.00664738,94.4,54.6,110,Train
01/02/2010,446323,0,0.07692308,0.004806418,0.007282118,0.004975231,0.004516974,0.004515092,0.002367725,0.008231351,0.010759364,0.943494533,0.009051195,93.6,53.8,111,Train
01/03/2010,473509,0.14285714,0,0.915350261,0.00894009,0.007071288,0.009834768,0.007569628,0.003564069,0.014619812,0.014970166,0.00874595,0.009333967,93.6,53.2,110,Train
01/04/2010,432608,0,0.11111111,0.014135199,0.009946486,0.012280165,0.018855612,0.487137786,0.002357276,0.024499163,0.414176837,0.011889618,0.006924973,92.2,53.1,110,Train
01/05/2010,350982,0,0.17647059,0.007981387,0.196179473,0.008975449,0.691937787,0.01658949,0.005134599,0.014309692,0.017409617,0.015929354,0.0124533,93.6,53.7,112,Train
01/06/2010,375707,0.16666667,0.33333333,0.007981387,0.016422915,0.009965087,0.757281338,0.020510128,0.002108695,0.029273323,0.127740874,0.009773846,0.008804511,96,51.9,113,Train
01/07/2010,410000,0,0,0.012179983,0.008327415,0.011853263,0.013148365,0.016798889,0.001661289,0.020420743,0.90208466,0.011220296,0.004173354,87.8,50.1,111,Train
01/08/2010,427935,0,0.07692308,0.012179983,0.007842471,0.00966206,0.014689475,0.01352623,0.002272125,0.889493645,0.032509052,0.011047088,0.006873281,88.9,49.2,110,Train
