Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,CCI,PMI,REERI,Class
01/01/2008,399556,403,3049,11,59,32,8,58,7,69,52,73,27,27,58,29,18,20,0,32,0,8,98.4,53.3,109,Train
01/02/2008,411032,357,3211,0,51,0,0,46,6,61,35,53,18,27,58,31,10,19,5,39,7,5,90.8,53,108,Train
01/03/2008,414332,344,3153,0,57,7,24,58,6,61,51,57,31,27,50,29,38,28,6,30,0,0,89.5,53.4,106,Train
01/04/2008,395900,338,3184,0,51,6,9,58,6,66,43,53,35,27,41,30,25,22,8,45,0,8,82.6,56.4,106,Train
01/05/2008,366387,369,2964,0,57,0,7,57,6,63,46,58,17,27,44,24,16,22,5,47,0,9,79.8,57.2,106,Train
01/06/2008,352945,361,2968,19,47,15,6,46,7,65,44,49,12,25,36,24,28,18,14,55,0,5,76.4,51.3,107,Train
01/07/2008,330000,384,2931,0,65,11,9,56,7,66,48,54,28,29,35,26,23,20,16,47,0,11,81.2,50,106,Train
01/08/2008,339000,468,3233,0,54,11,19,63,7,58,53,55,15,31,44,27,25,22,0,46,14,6,83,46.4,109,Train
01/09/2008,286389,462,3244,0,58,20,10,46,6,67,38,53,17,27,41,31,19,18,0,38,0,6,90.3,46.4,111,Train
01/10/2008,296742,511,3802,0,47,9,7,48,5,62,45,49,16,30,45,29,11,25,0,27,0,10,77.6,49.2,117,Train
01/11/2008,279904,511,3802,35,57,14,14,44,6,70,59,58,41,31,60,29,23,26,9,35,0,8,75.3,42.6,118,Train
01/12/2008,358048,503,3373,0,49,9,21,47,4,55,48,62,19,33,52,25,17,28,0,38,0,11,80.1,36.8,117,Train
01/01/2009,370000,566,4306,0,54,10,11,47,7,62,49,84,28,30,48,28,9,23,14,48,0,11,81.2,39.2,118,Train
01/02/2009,342913,450,3356,0,56,12,9,56,7,64,45,65,36,36,43,27,10,29,0,34,0,11,76.3,43.3,120,Train
01/03/2009,303489,485,3500,7,48,17,16,51,7,55,37,57,14,38,37,21,25,38,8,36,0,9,77.3,47,121,Train
01/04/2009,305430,473,3168,0,49,4,7,53,8,55,37,63,15,40,46,31,10,30,7,48,0,5,85.1,50.4,118,Train
01/05/2009,292843,517,3702,0,43,11,0,50,8,58,51,58,10,38,40,29,31,31,8,38,5,11,88.7,51.5,115,Train
01/06/2009,279147,505,4240,0,42,6,16,52,9,59,42,64,10,39,37,31,22,30,5,47,5,9,90.8,51.1,114,Train
01/07/2009,271422,538,4240,0,51,4,7,54,10,62,47,62,24,42,45,30,15,36,13,51,0,8,86,51.2,113,Train
01/08/2009,314915,655,4527,0,56,18,15,55,10,59,52,64,20,43,42,27,19,36,10,52,7,11,85.7,51.3,112,Train
01/09/2009,304419,647,4542,7,57,0,0,44,9,71,46,61,25,46,61,33,18,36,17,46,0,0,93.5,52,112,Train
01/10/2009,227859,692,4825,0,62,0,8,53,9,69,49,56,8,49,63,34,0,40,14,38,6,8,90.6,52.3,110,Train
01/11/2009,387871,715,5323,0,62,7,16,52,9,69,54,64,21,51,69,41,17,48,15,55,0,14,87.4,53.2,110,Train
01/12/2009,376400,704,4723,0,59,6,12,41,7,61,46,51,16,49,51,33,19,49,20,34,9,0,92.5,53.2,110,Train
01/01/2010,416249,571,3872,0,64,0,15,55,11,74,56,79,34,53,60,39,22,49,15,48,7,10,94.4,54.6,110,Train
01/02/2010,446323,491,3627,0,62,17,9,48,11,69,54,65,33,42,48,29,13,44,17,38,0,12,93.6,53.8,111,Train
01/03/2010,473509,488,3595,0,70,8,5,53,10,70,50,60,18,58,47,34,24,70,13,47,6,7,93.6,53.2,110,Train
01/04/2010,432608,480,3213,0,66,8,17,60,11,63,55,61,27,58,49,38,18,61,12,51,0,16,92.2,53.1,110,Train
01/05/2010,350982,524,3755,0,58,12,5,49,11,64,54,71,18,53,45,39,25,59,16,49,0,13,93.6,53.7,112,Train
