Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,Class
01/01/2008,399556,403,3049,11,59,32,8,58,7,69,52,73,27,27,58,29,18,20,0,32,0,8,0.18181818,0.09090909,0.008714993,0.010894473,0.889993195,0.011227505,0.010640964,0.001709834,0.014931973,0.027565786,0.014080746,0.010240533,Train
01/02/2008,411032,357,3211,0,51,0,0,46,6,61,35,53,18,27,58,31,10,19,5,39,7,5,0,0.09090909,0.009084854,0.010974071,0.00722121,0.006829131,0.006409651,0.005451212,0.011672885,0.014947726,0.913561268,0.013847992,Train
01/03/2008,414332,344,3153,0,57,7,24,58,6,61,51,57,31,27,50,29,38,28,6,30,0,0,0.14285714,0,0.008164083,0.005849203,0.006916745,0.009096501,0.00719614,0.001610877,0.007281315,0.005533491,0.0141983,0.934153344,Train
01/04/2008,395900,338,3184,0,51,6,9,58,6,66,43,53,35,27,41,30,25,22,8,45,0,8,0.21428571,0.07142857,0.007528202,0.013788933,0.005867428,0.911019639,0.012190712,0.001258646,0.014063044,0.019446225,0.006806929,0.008030241,Train
01/05/2008,366387,369,2964,0,57,0,7,57,6,63,46,58,17,27,44,24,16,22,5,47,0,9,0,0.1,0.008862369,0.007257191,0.010529022,0.011619018,0.014288134,0.001458239,0.01596848,0.915464025,0.010944356,0.003609168,Train
01/06/2008,352945,361,2968,19,47,15,6,46,7,65,44,49,12,25,36,24,28,18,14,55,0,5,0.14285714,0,0.011264041,0.006632302,0.008489192,0.011277242,0.010574615,0.002002643,0.911306671,0.022794844,0.009589391,0.006069058,Train
01/07/2008,330000,384,2931,0,65,11,9,56,7,66,48,54,28,29,35,26,23,20,16,47,0,11,0,0,0.006494644,0.008933366,0.007294856,0.006192367,0.006247156,0.002975053,0.013054853,0.023750069,0.914466022,0.010591613,Train
01/08/2008,339000,468,3233,0,54,11,19,63,7,58,53,55,15,31,44,27,25,22,0,46,14,6,0.06666667,0,0.006556454,0.004657665,0.005528876,0.007312184,0.00574145,0.001293913,0.005695757,0.004158457,0.011156893,0.94789835,Train
01/09/2008,286389,462,3244,0,58,20,10,46,6,67,38,53,17,27,41,31,19,18,0,38,0,6,0.0625,0.0625,0.912572929,0.009167139,0.007478999,0.010277565,0.007760442,0.003640147,0.014375693,0.015068047,0.009056028,0.01060301,Train
01/10/2008,296742,511,3802,0,47,9,7,48,5,62,45,49,16,30,45,29,11,25,0,27,0,10,0.18181818,0.09090909,0.91416954,0.009037253,0.007137762,0.010139143,0.007654235,0.003592803,0.014689031,0.015028052,0.008843205,0.009708976,Train
01/11/2008,279904,511,3802,35,57,14,14,44,6,70,59,58,41,31,60,29,23,26,9,35,0,8,0.125,0,0.896473431,0.010178174,0.008040726,0.011368679,0.008673088,0.003972347,0.020622542,0.020221429,0.010483221,0.009966363,Train
01/12/2008,358048,503,3373,0,49,9,21,47,4,55,48,62,19,33,52,25,17,28,0,38,0,11,0,0,0.012554705,0.009509414,0.010816018,0.015189967,0.011441372,0.002458088,0.01175278,0.009236341,0.021733609,0.895307706,Train
01/01/2009,370000,566,4306,0,54,10,11,47,7,62,49,84,28,30,48,28,9,23,14,48,0,11,0,0.08333333,0.017232776,0.23518203,0.016060741,0.524610903,0.025355671,0.003596273,0.022642217,0.124488436,0.017702686,0.013128266,Train
01/02/2009,342913,450,3356,0,56,12,9,56,7,64,45,65,36,36,43,27,10,29,0,34,0,11,0,0.25,0.012671869,0.016954172,0.012852941,0.011269333,0.010696088,0.005004721,0.019441079,0.024702287,0.865229426,0.021178086,Train
01/03/2009,303489,485,3500,7,48,17,16,51,7,55,37,57,14,38,37,21,25,38,8,36,0,9,0.14285714,0.07142857,0.005961899,0.004288932,0.005045035,0.006678978,0.005183318,0.00118354,0.005106646,0.003715335,0.010205171,0.952631147,Train
01/04/2009,305430,473,3168,0,49,4,7,53,8,55,37,63,15,40,46,31,10,30,7,48,0,5,0,0,0.006030683,0.007286314,0.931647007,0.006069895,0.006962694,0.001107239,0.009717377,0.017024765,0.007459949,0.006694077,Train
01/05/2009,292843,517,3702,0,43,11,0,50,8,58,51,58,10,38,40,29,31,31,8,38,5,11,0,0,0.880086675,0.012732172,0.009911968,0.013845623,0.011609913,0.005115163,0.020009214,0.021337646,0.012473688,0.012877937,Train
