Month,Tourist Arrival,Number of Posts,Number of Comments,Class
01/01/2008,399556,403,3049,Train
01/02/2008,411032,357,3211,Train
01/03/2008,414332,344,3153,Train
01/04/2008,395900,338,3184,Train
01/05/2008,366387,369,2964,Train
01/06/2008,352945,361,2968,Train
01/07/2008,330000,384,2931,Train
01/08/2008,339000,468,3233,Train
01/09/2008,286389,462,3244,Train
01/10/2008,296742,511,3802,Train
01/11/2008,279904,511,3802,Train
01/12/2008,358048,503,3373,Train
01/01/2009,370000,566,4306,Train
01/02/2009,342913,450,3356,Train
01/03/2009,303489,485,3500,Train
01/04/2009,305430,473,3168,Train
01/05/2009,292843,517,3702,Train
01/06/2009,279147,505,4240,Train
01/07/2009,271422,538,4240,Train
01/08/2009,314915,655,4527,Train
01/09/2009,304419,647,4542,Train
01/10/2009,227859,692,4825,Train
01/11/2009,387871,715,5323,Train
01/12/2009,376400,704,4723,Train
01/01/2010,416249,571,3872,Train
01/02/2010,446323,491,3627,Train
01/03/2010,473509,488,3595,Train
01/04/2010,432608,480,3213,Train
01/05/2010,350982,524,3755,Train
01/06/2010,375707,513,4300,Train
01/07/2010,410000,545,3621,Train
01/08/2010,427935,665,4591,Train
01/09/2010,383463,656,4607,Train
01/10/2010,440071,701,4894,Train
01/11/2010,428295,726,5400,Train
01/12/2010,44957,714,4790,Train
01/01/2011,506424,666,4745,Train
01/02/2011,529315,571,4214,Train
01/03/2011,475733,568,4177,Train
01/04/2011,460000,558,3733,Train
01/05/2011,480886,609,4363,Train
01/06/2011,446966,596,4997,Train
01/07/2011,460000,634,4207,Train
01/08/2011,552234,772,5335,Train
01/09/2011,286618,762,5353,Train
01/10/2011,518477,815,5687,Train
01/11/2011,611864,843,6274,Train
01/12/2011,593408,830,5566,Train
01/01/2012,630000,785,5785,Train
01/02/2012,681849,696,5082,Train
01/03/2012,561877,671,4936,Train
01/04/2012,620000,659,4412,Train
01/05/2012,615523,720,5157,Train
01/06/2012,417429,704,5905,Train
01/07/2012,466000,749,4972,Train
01/08/2012,525292,913,6305,Train
01/09/2012,460238,901,6326,Train
01/10/2012,495576,963,6721,Train
01/11/2012,655701,996,7415,Train
01/12/2012,614673,981,6578,Train
01/01/2013,651812,801,5531,Train
01/02/2013,570476,689,5082,Train
01/03/2013,587366,685,5038,Train
01/04/2013,613919,673,4503,Train
01/05/2013,558751,734,5263,Train
01/06/2013,567291,718,6026,Train
01/07/2013,658325,764,5074,Train
01/08/2013,676719,931,6434,Train
01/09/2013,614827,919,6456,Train
01/10/2013,628695,983,6858,Train
01/11/2013,713034,1017,7567,Train
01/12/2013,722349,1001,6713,Train
01/01/2014,776174,729,4984,Train
01/02/2014,842026,626,4623,Train
01/03/2014,709725,623,4582,Train
01/04/2014,74598,612,4095,Train
01/05/2014,674204,668,4787,Train
01/06/2014,539776,653,5481,Train
01/07/2014,564736,695,4615,Train
01/08/2014,618588,847,5852,Train
01/09/2014,590881,836,5872,Train
01/10/2014,559002,894,6238,Train
01/11/2014,608617,925,6883,Train
01/12/2014,657304,910,6106,Train
01/01/2015,700692,809,5856,Train
01/02/2015,756000,671,4955,Train
01/03/2015,617895,667,4911,Train
01/04/2015,69044,656,4390,Train
01/05/2015,576868,716,5130,Train
01/06/2015,529445,700,5875,Train
01/07/2015,593566,745,4947,Train
01/08/2015,664985,908,6273,Train
01/09/2015,626324,896,6293,Train
01/10/2015,649099,958,6686,Train
01/11/2015,732740,991,7377,Train
01/12/2015,760798,976,6544,Train
01/01/2016,815200,851,5733,Train
01/02/2016,843726,757,5525,Train
01/03/2016,830608,729,5367,Train
01/04/2016,799612,717,5446,Train
01/05/2016,767373,782,5860,Train
01/06/2016,710574,765,5903,Train
01/07/2016,856438,814,5744,Train
01/08/2016,909866,992,7329,Train
01/09/2016,823135,979,6876,Train
01/10/2016,822145,1047,7298,Train
01/11/2016,936779,1083,8063,Train
01/12/2016,897279,1066,8183,Train
01/01/2017,1007238,924,6113,Train
01/02/2017,1199421,1010,7457,Train
